Order_ID,Date,Product,Category,Quantity,Unit_Price,City,Sales_Channel,Revenue
1,2026-02-22,Monitor,Electronics,2.0,12572.0,Coimbatore,Store,25144.0
2,2026-01-18,Laptop,Electronics,7.0,47082.0,Bengaluru,Store,329574.0
3,2026-06-09,Headphones,Accessories,4.0,1053.0,Bengaluru,Store,4212.0
4,2026-05-26,Tablet,Electronics,2.0,18338.0,Chennai,Online,36676.0
5,2026-04-23,Keyboard,Accessories,2.0,3762.0,Chennai,Online,7524.0
6,2026-08-21,Monitor,Electronics,4.0,17108.0,Hyderabad,Store,68432.0
7,2026-03-18,Tablet,Electronics,6.0,29496.0,Coimbatore,Store,176976.0
8,2026-04-27,Smartphone,Electronics,8.0,32691.0,Delhi,Online,261528.0
9,2026-08-05,Headphones,Accessories,5.0,2741.0,Hyderabad,Store,13705.0
10,2026-09-16,Smartphone,Electronics,5.0,43077.0,Chennai,Online,215385.0
11,2026-07-20,Laptop,Electronics,3.0,86120.0,Mumbai,Store,258360.0
12,2026-06-04,Tablet,Electronics,1.0,19507.0,Hyderabad,Online,19507.0
13,2026-02-28,Smartphone,Electronics,8.0,62323.0,Coimbatore,Online,498584.0
14,2026-06-16,Monitor,Electronics,4.0,27626.0,Chennai,Online,110504.0
15,2026-08-27,Tablet,Electronics,5.0,27785.0,Chennai,Store,138925.0
16,2026-09-25,Smartphone,Electronics,3.0,46148.0,Coimbatore,Store,138444.0
17,2026-04-08,Monitor,Electronics,5.0,11965.0,Chennai,Online,59825.0
18,2026-02-02,Laptop,Electronics,4.0,83564.0,Hyderabad,Online,334256.0
19,2026-08-08,Keyboard,Accessories,4.0,1883.0,Mumbai,Online,7532.0
20,2026-08-28,Smartphone,Electronics,2.0,58187.0,Coimbatore,Online,116374.0
21,2026-04-18,Monitor,Electronics,2.0,14278.0,Mumbai,Store,28556.0
22,2026-02-02,Headphones,Accessories,3.0,1617.0,Coimbatore,Store,4851.0
23,2026-07-02,Laptop,Electronics,2.0,60491.0,Bengaluru,Online,120982.0
24,2026-04-10,Laptop,Electronics,7.0,62380.0,Bengaluru,Online,436660.0
25,2026-09-06,Keyboard,Accessories,1.0,19507.0,Chennai,Store,19507.0
26,2026-02-19,Laptop,Electronics,3.0,49490.0,Bengaluru,Store,148470.0
27,2026-04-22,Keyboard,Accessories,1.0,3391.0,Coimbatore,Online,3391.0
28,2026-01-15,Smartphone,Electronics,5.0,23577.0,Delhi,Store,117885.0
29,2026-04-12,Laptop,Electronics,2.0,80234.0,Hyderabad,Store,160468.0
30,2026-02-05,Headphones,Accessories,5.0,6471.0,Hyderabad,Online,32355.0
31,2026-05-17,Laptop,Electronics,12.625,62848.0,Mumbai,Online,793456.0
32,2026-03-21,Laptop,Electronics,2.0,86568.0,Hyderabad,Store,173136.0
33,2026-02-23,Monitor,Electronics,8.0,11665.0,Bengaluru,Store,93320.0
34,2026-05-12,Laptop,Electronics,6.0,83175.0,Chennai,Online,499050.0
35,2026-03-08,Smartphone,Electronics,4.0,21736.0,Bengaluru,Store,86944.0
36,2026-03-26,Headphones,Accessories,1.0,4372.0,Coimbatore,Online,4372.0
37,2026-04-08,Headphones,Accessories,1.0,4770.0,Chennai,Store,4770.0
38,2026-09-11,Headphones,Accessories,6.0,3876.0,Chennai,Online,23256.0
39,2026-06-14,Tablet,Electronics,3.0,14507.0,Delhi,Store,43521.0
40,2026-09-26,Laptop,Electronics,7.0,82787.0,Delhi,Store,579509.0
41,2026-02-24,Tablet,Electronics,7.0,33639.0,Hyderabad,Store,235473.0
42,2026-07-22,Tablet,Electronics,7.0,31376.0,Mumbai,Store,219632.0
43,2026-07-26,Keyboard,Accessories,5.0,3150.0,Delhi,Store,15750.0
44,2026-08-26,Monitor,Electronics,6.0,24750.0,Coimbatore,Store,148500.0
45,2026-04-26,Monitor,Electronics,2.0,18171.0,Bengaluru,Store,36342.0
46,2026-04-23,Laptop,Electronics,1.0,61046.0,Coimbatore,Online,61046.0
47,2026-03-26,Headphones,Accessories,7.0,1873.0,Coimbatore,Store,13111.0
48,2026-09-18,Headphones,Accessories,1.0,4739.0,Delhi,Online,4739.0
49,2026-04-27,Headphones,Accessories,7.0,4888.0,Coimbatore,Online,34216.0
50,2026-04-09,Keyboard,Accessories,8.0,1434.0,Hyderabad,Online,11472.0
51,2026-02-14,Keyboard,Accessories,2.0,2051.0,Mumbai,Online,4102.0
52,2026-01-28,Tablet,Electronics,8.0,3990.0,Delhi,Online,31920.0
53,2026-04-09,Headphones,Accessories,1.0,4432.0,Mumbai,Online,4432.0
54,2026-03-20,Laptop,Electronics,7.0,67028.0,Delhi,Online,469196.0
55,2026-01-09,Headphones,Accessories,1.0,2111.0,Mumbai,Online,2111.0
56,2026-02-16,Smartphone,Electronics,8.0,37118.0,Chennai,Store,296944.0
57,2026-04-07,Laptop,Electronics,6.0,59694.0,Chennai,Store,358164.0
58,2026-05-25,Smartphone,Electronics,4.0,46035.0,Hyderabad,Store,184140.0
59,2026-07-13,Keyboard,Accessories,2.0,1010.0,Coimbatore,Store,2020.0
60,2026-01-12,Laptop,Electronics,4.0,51678.0,Delhi,Online,206712.0
61,2026-02-14,Monitor,Electronics,6.0,24062.0,Hyderabad,Online,144372.0
62,2026-07-27,Monitor,Electronics,3.0,23232.0,Coimbatore,Store,69696.0
63,2026-07-11,Tablet,Electronics,6.0,30279.0,Chennai,Online,181674.0
64,2026-05-18,Tablet,Electronics,3.0,35253.0,Chennai,Store,105759.0
65,2026-08-15,Smartphone,Electronics,2.0,62190.0,Chennai,Online,124380.0
66,2026-09-17,Tablet,Electronics,4.0,27945.0,Hyderabad,Online,111780.0
67,2026-04-04,Monitor,Electronics,6.0,16237.0,Coimbatore,Store,97422.0
68,2026-05-24,Tablet,Electronics,2.0,24133.0,Delhi,Store,48266.0
69,2026-05-01,Keyboard,Accessories,5.0,3756.0,Coimbatore,Store,18780.0
70,2026-08-04,Smartphone,Electronics,5.0,18573.0,Chennai,Store,92865.0
71,2026-08-04,Tablet,Electronics,8.0,34328.0,Chennai,Online,274624.0
72,2026-05-03,Headphones,Accessories,2.0,2242.0,Bengaluru,Online,4484.0
73,2026-08-10,Keyboard,Accessories,7.0,3916.0,Delhi,Online,27412.0
74,2026-02-06,Tablet,Electronics,1.0,18503.0,Bengaluru,Store,18503.0
75,2026-01-08,Keyboard,Accessories,2.0,4649.0,Hyderabad,Online,9298.0
76,2026-02-18,Monitor,Electronics,8.0,21930.0,Bengaluru,Store,175440.0
77,2026-02-15,Tablet,Electronics,3.0,22873.0,Coimbatore,Online,68619.0
78,2026-01-14,Monitor,Electronics,7.0,27596.0,Coimbatore,Online,193172.0
79,2026-01-25,Keyboard,Accessories,5.0,969.0,Bengaluru,Online,4845.0
80,2026-08-12,Keyboard,Accessories,8.0,4828.0,Mumbai,Online,38624.0
81,2026-07-27,Tablet,Electronics,2.0,38977.0,Delhi,Online,77954.0
82,2026-01-22,Headphones,Accessories,2.0,1949.0,Delhi,Online,3898.0
83,2026-08-25,Headphones,Accessories,1.0,6100.0,Chennai,Store,6100.0
84,2026-04-23,Tablet,Electronics,5.0,43766.0,Bengaluru,Online,218830.0
