Order_ID,Date,Product,Category,Quantity,Unit_Price,City,Sales_Channel
1,2026-02-22,Monitor,Electronics,2.0,12572.0,Coimbatore,Store
2,2026-01-18,Laptop,Electronics,7.0,47082.0,Bengaluru,Store
3,2026-06-09,Headphones,Accessories,4.0,1053.0,Bengaluru,Store
4,2026-05-26,Tablet,Electronics,2.0,18338.0,Chennai,Online
5,2026-04-23,Keyboard,Accessories,2.0,3762.0,Chennai,Online
6,2026-08-21,Monitor,Electronics,4.0,17108.0,Hyderabad,Store
7,2026-03-18,Tablet,Electronics,6.0,29496.0,Coimbatore,Store
8,2026-04-27,Smartphone,Electronics,8.0,32691.0,,Online
9,2026-08-05,Headphones,Accessories,5.0,2741.0,Hyderabad,Store
10,2026-09-16,Smartphone,Electronics,5.0,43077.0,Chennai,Online
11,2026-07-20,Laptop,Electronics,3.0,86120.0,Mumbai,Store
12,2026-06-04,Tablet,Electronics,1.0,19507.0,Hyderabad,Online
13,2026-02-28,Smartphone,Electronics,8.0,62323.0,Coimbatore,Online
14,2026-06-16,Monitor,Electronics,4.0,27626.0,Chennai,Online
15,2026-08-27,Tablet,Electronics,5.0,27785.0,Chennai,Store
16,2026-09-25,Smartphone,Electronics,3.0,46148.0,Coimbatore,Store
17,2026-04-08,Monitor,Electronics,5.0,11965.0,Chennai,Online
18,2026-02-02,Laptop,Electronics,4.0,83564.0,Hyderabad,Online
19,2026-08-08,Keyboard,Accessories,4.0,1883.0,Mumbai,Online
20,2026-08-28,Smartphone,Electronics,2.0,58187.0,Coimbatore,Online
21,2026-04-18,Monitor,Electronics,2.0,14278.0,Mumbai,Store
22,2026-02-02,Headphones,Accessories,3.0,1617.0,Coimbatore,Store
23,2026-07-02,Laptop,Electronics,2.0,60491.0,Bengaluru,Online
24,2026-04-10,Laptop,Electronics,7.0,62380.0,Bengaluru,Online
25,2026-09-06,Keyboard,Accessories,1.0,,Chennai,Store
26,2026-02-19,Laptop,Electronics,3.0,49490.0,Bengaluru,Store
27,2026-04-22,Keyboard,Accessories,1.0,3391.0,Coimbatore,Online
28,2026-01-15,Smartphone,Electronics,5.0,23577.0,Delhi,Store
29,2026-04-12,Laptop,Electronics,2.0,80234.0,Hyderabad,Store
30,2026-02-05,Headphones,Accessories,5.0,6471.0,Hyderabad,Online
31,2026-05-17,Laptop,Electronics,75.0,62848.0,Mumbai,Online
32,2026-03-21,Laptop,Electronics,2.0,86568.0,Hyderabad,Store
33,2026-02-23,Monitor,Electronics,8.0,11665.0,Bengaluru,Store
34,2026-05-12,Laptop,Electronics,6.0,83175.0,Chennai,Online
35,2026-03-08,Smartphone,Electronics,4.0,21736.0,Bengaluru,Store
36,2026-03-26,Headphones,Accessories,1.0,4372.0,Coimbatore,Online
37,2026-04-08,Headphones,Accessories,1.0,4770.0,Chennai,Store
38,2026-09-11,Headphones,Accessories,6.0,3876.0,Chennai,Online
39,2026-06-14,Tablet,Electronics,3.0,14507.0,Delhi,Store
40,2026-09-26,Laptop,Electronics,7.0,82787.0,Delhi,Store
41,2026-02-24,Tablet,Electronics,7.0,33639.0,Hyderabad,Store
42,2026-07-22,Tablet,Electronics,7.0,31376.0,Mumbai,Store
43,2026-07-26,Keyboard,Accessories,5.0,3150.0,Delhi,Store
44,2026-08-26,Monitor,Electronics,6.0,24750.0,Coimbatore,Store
45,2026-04-26,Monitor,Electronics,2.0,18171.0,Bengaluru,Store
46,2026-04-23,Laptop,Electronics,1.0,61046.0,Coimbatore,Online
47,2026-03-26,Headphones,Accessories,7.0,1873.0,Coimbatore,Store
48,2026-09-18,Headphones,Accessories,1.0,4739.0,Delhi,Online
49,2026-04-27,Headphones,Accessories,7.0,4888.0,Coimbatore,Online
50,2026-04-09,Keyboard,Accessories,8.0,1434.0,Hyderabad,Online
51,2026-02-14,Keyboard,Accessories,2.0,2051.0,Mumbai,Online
52,2026-01-28,,Accessories,8.0,3990.0,Delhi,Online
